latitude,longitude
-43.5285146,172.6231699
-43.5284364,172.6229605
-43.5281408,172.6416385
-43.528098,172.6416385
-43.5278616,172.6412934
-43.527816,172.6414916
-43.5278155,172.6413825
-43.5251082,172.5764885
-43.5240708,172.6103521
-43.5239258,172.6101743
-43.5006601,-72.3463218
-43.492471,172.6572333
-43.4780591,172.6063454
-43.4741004,172.4305605
-43.4728441,172.4338056
-43.4727531,172.4307136
-43.467838,172.4061967
-43.4636352,172.603341
-43.4633536,172.6028711
-43.4533221,172.4727739
-43.4530183,172.4726907
-43.4405535,-72.3596613
-43.3871707,170.1809287
-43.377473,147.3220919
-43.3608444,147.3287561
-43.322081,-72.4100316
-43.2975522,172.1940746
-43.272587,-72.4207321
-43.2166159,-72.4426928
-43.1982496,171.6881013
-43.1869098,172.3359938
-43.1096344,147.7322504
-43.0967708,172.8879256
-43.0547842,147.2682661
-43.0528402,147.2673281
-43.0518132,147.2668815
-42.9970568,147.9338914
-42.9496459,147.349242
-42.9334919,171.5619763
-42.9155396,147.2483974
-42.9154865,147.2483553
-42.908135,147.2633249
-42.9028264,147.3257579
-42.902793,147.3257834
-42.9027783,147.3257452
-42.902186,147.3262925
-42.9021733,147.327069
-42.9021487,147.3263355
-42.902131,147.3270758
-42.9021182,147.326365
-42.8937416,147.3011943
-42.8101931,171.156295
-42.8096166,171.1559893
-42.8096146,171.1547769
-42.8082923,171.1549003
-42.8080444,171.1549217
-42.7902537,-71.7279688
-42.6295059,171.1854426
-42.6294192,171.18548
-42.6293229,171.1856373
-42.6146812,171.5014829
-42.614623,171.501503
-42.6145638,171.5015258
-42.6144848,171.5015527
-42.5228889,172.8356675
-42.5162672,172.836497
-42.5152139,172.836384
-42.5069327,172.8434958
-42.4690467,171.1943243
-42.4650697,-64.4989446
-42.4650388,-64.4989262
-42.4650342,-64.4990413
-42.4649893,-64.4989475
-42.4649417,-64.4989681
-42.4453482,171.1988584
-42.4256233,173.6879869
-42.4254996,173.6876918
-42.425361,173.6886159
-42.3970564,171.2155625
-42.3047886,172.289463
-42.1159412,171.3298297
-42.0998192,-71.4526744
-42.0006144,171.396175
-41.9049361,171.434289
-41.8761918,148.3103664
-41.8711102,148.2956009
-41.7683975,172.1920554
-41.754595,171.6002173
-41.7538187,171.5999106
-41.7537383,171.6000127
-41.7344455,171.6053315
-41.7342122,171.6051897
-41.6871785,146.598242
-41.6870772,146.5981827
-41.6540244,174.1540845
-41.6537724,174.1541572
-41.6537234,174.1182615
-41.6535395,174.1186871
-41.6531123,174.1180893
-41.6515596,146.9491087
-41.6446934,174.1493753
-41.644623,174.1495271
-41.5878754,-72.5759064
-41.5764143,147.1794607
-41.5285677,-71.5248129
-41.4332892,147.160512
-41.433257,147.1604758
-41.4332168,147.1604597
-41.4332148,147.1599233
